Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
233,Amir Coffey,26,LAC,SF,70,13,1460,166,352,.472,70,184,.380,96,168,.571,.571,61,71,.859,29,119,148,76,41,14,33,102,463,0,,coffeam01
234,Ochai Agbaji,23,2TM,SG,78,28,1641,178,433,.411,62,211,.294,116,222,.523,.483,37,56,.661,74,142,216,83,47,44,64,117,455,0,,agbajoc01
234,Ochai Agbaji,23,UTA,SG,51,10,1003,106,249,.426,47,142,.331,59,107,.551,.520,15,20,.750,35,91,126,47,27,29,34,66,274,0,,agbajoc01
234,Ochai Agbaji,23,TOR,SG,27,18,638,72,184,.391,15,69,.217,57,115,.496,.432,22,36,.611,39,51,90,36,20,15,30,51,181,0,,agbajoc01
235,Patrick Beverley,35,2TM,PG,73,13,1462,158,379,.417,61,181,.337,97,198,.490,.497,74,90,.822,49,190,239,212,43,31,65,128,451,0,,beverpa01
235,Patrick Beverley,35,PHI,PG,47,5,919,104,241,.432,35,109,.321,69,132,.523,.504,51,63,.810,30,115,145,144,24,18,49,83,294,0,,beverpa01
235,Patrick Beverley,35,MIL,PG,26,8,543,54,138,.391,26,72,.361,28,66,.424,.486,23,27,.852,19,75,94,68,19,13,16,45,157,0,,beverpa01
236,James Wiseman,22,DET,C,63,6,1091,187,305,.613,0,2,.000,187,303,.617,.613,72,102,.706,110,226,336,54,12,39,66,141,446,0,,wisemja01
237,Trendon Watford,23,BRK,PF,63,2,856,164,311,.527,27,68,.397,137,243,.564,.571,77,97,.794,52,142,194,81,23,19,63,106,432,0,,watfotr01
238,Luke Kennard,27,MEM,SG,39,22,999,141,315,.448,107,238,.450,34,77,.442,.617,40,45,.889,11,102,113,136,20,2,54,39,429,0,,kennalu01
239,Patrick Williams,22,CHI,PF,43,30,1174,159,359,.443,59,148,.399,100,211,.474,.525,52,66,.788,46,120,166,66,40,33,57,87,429,0,,willipa01
240,Pat Connaughton,31,MIL,SF,76,3,1676,151,347,.435,82,238,.345,69,109,.633,.553,44,58,.759,51,188,239,161,40,19,49,99,428,0,,connapa01
241,Dante Exum,28,DAL,PG,55,17,1088,161,302,.533,53,108,.491,108,194,.557,.621,53,68,.779,25,124,149,157,22,5,49,85,428,0,,exumda01
242,Josh Richardson,30,MIA,SG,43,6,1103,154,347,.444,66,190,.347,88,157,.561,.539,51,54,.944,18,103,121,105,24,14,36,76,425,0,,richajo01
